Datetime= 2021-05-18 15:32:03, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:32:12, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:33:54, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:34:03, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-05-18 15:34:38, Coupon Code=eeee, Deviceid=rrrr
Datetime= 2021-06-23 11:26:04Deviceid=ae50c431629f08cd, email=gabby-prod9@mailinator.com
Datetime= 2021-06-24 07:36:14Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:37:31Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 07:38:17Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 09:16:33Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 10:01:43Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 10:02:08Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 10:08:09Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 10:08:18Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 10:09:23Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 10:09:45Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:16:13Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:18:38Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:20:10Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:21:26Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:21:30Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:25:00Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:26:25Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:26:37Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:27:04Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:32:46Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:36:48Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:37:02Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:37:52Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:45:09Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:45:59Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:46:26Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:46:45Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 15:48:01Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:01:17Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:02:25Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:03:18Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:05:07Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:05:33Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:05:59Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:07:13Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:08:06Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:09:13Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:12:35Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:21:02Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:22:18Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:22:53Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:24:46Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:25:20Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:26:01Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:29:36Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:42:01Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:42:41Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:52:02Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:54:46Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:55:33Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:56:21Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:57:09Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:57:43Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:58:00Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:59:02Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 16:59:59Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 17:00:38Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
Datetime= 2021-06-24 17:01:21Deviceid=CB57272A-A2CE-4681-BE29-DC411AC63899, email=gabby-testing@mailinator.com
